CODFILIAL;NUMERO_NOTA;CODPROD;NOME_PRODUTO;CATEGORIA;DTMOV_ENTRADA;QTD_ENTRADA;VLR_ENTRADA
5;1857;81981;MELOXICAM 15MG 10COM GEN NQ;CAIXA TERMICA;2025-03-25;180,0;247,01
5;1857;81981;MELOXICAM 15MG 10COM GEN NQ;OLEO/LOC CORPORAL;2025-03-25;180,0;247,01
5;1858;142442;AMBROXOL GTS 7,5MG/ML 50ML GEN PRATI;LUBRIFICANTE;2025-03-25;2,0;10,55
5;1861;152304;PARACETAMOL 750MG 300COM (30X10) GEN PRA;CAIXA TERMICA;2025-03-25;2,0;66,58
5;1865;145118;CICLOBENZAPRINA 10MG 15COM GEN PRATI;MEL/PROPOLIS;2025-03-25;13,0;32,45
5;1866;133439;ABS INTIMUS INTERNO SUPER 8UN;ABSORVENTES;2025-03-25;1,0;5,61
5;1867;145970;LAMOTRIGINA 50MG 30COM (C1) GEN PRATI;LUBRIFICANTE;2025-03-25;4,0;24,89
5;1867;149947;CLONAZEPAM 2MG 30COM (B1) GEN PRATI;CAIXA TERMICA;2025-03-25;2,0;6,7
5;1870;85707;SILDENAFILA 50MG 4COM GEN NQ;OLEO/LOC CORPORAL;2025-03-25;13,0;16,47
5;1872;142651;GABAPENTINA 400MG 30CAP (C1) GEN PRATI;OLEO/LOC CORPORAL;2025-07-16;6,0;87,19
5;1875;142670;DEXCLORFENIRAMINA+BETA XPE 120ML GEN PRA;MEL/PROPOLIS;2025-07-16;2,0;8,63
5;1877;154348;VIT NEO QUIM KIDS MULTV IMUNID 60COMMAST;VITAMINAS/MINERAIS;2025-07-16;46,0;199,84
5;1880;136413;OLEO DE ROSA MOSQUETA 30ML FARMAX;OLEO/LOC CORPORAL;2025-07-16;2,0;21,25
5;1883;81671;LOSARTANA 50MG 60COM GEN TEUTO;CAIXA TERMICA;2025-07-16;5,0;9,99
5;1883;152325;OLMESARTANA MEDOXOMIL 40MG 30COM GEN GMD;PRODUTO COM PMC;2025-07-16;2,0;29,74
5;1883;152325;OLMESARTANA MEDOXOMIL 40MG 30COM GEN GMD;CAIXA TERMICA;2025-07-16;2,0;29,74
5;1883;153866;OLMESARTANA+ANLO 40MG+5MG 30COM GEN EMS;MEL/PROPOLIS;2025-07-16;6,0;161,53
5;1890;152393;AFTER DRINK GINGER LEMON 269ML FD/12;ALIMENTOS FUNCIONAIS;2025-07-16;34,0;121,12
5;1894;147349;TIPOIA BRIM BASIC P OR2016;ANTISSEPTICO;2025-07-16;1,0;23,23
5;1895;100420;ALPRAZOLAM 1MG 30COM (B1) GEN GMD;LUBRIFICANTE;2025-07-16;17,0;46,08
5;1895;100420;ALPRAZOLAM 1MG 30COM (B1) GEN GMD;CAIXA TERMICA;2025-07-16;17,0;46,08
5;1895;145139;TOPIRAMATO 25MG 60COM (C1) GEN NVQ;MEL/PROPOLIS;2025-07-16;1,0;7,8
5;1899;108189;DOMPGRAN (DOMPERIDONA) 10MG 30COM;PRODUTO COM PMC;2025-07-16;1,0;3,17
5;1902;81590;CETOCONAZOL 200MG 30COM GEN TB;LUBRIFICANTE;2025-07-16;1,0;7,98
5;1902;81590;CETOCONAZOL 200MG 30COM GEN TB;MEL/PROPOLIS;2025-07-16;1,0;7,98
5;1902;110132;OMEPRAZOL 20MG 28CAP POTE GEN GLB;PRODUTO COM PMC;2025-07-16;1,0;1,96
5;1902;110132;OMEPRAZOL 20MG 28CAP POTE GEN GLB;CAIXA TERMICA;2025-07-16;1,0;1,96
5;1903;93319;TINIDAZOL+MICONAZOL CR VAG 40G 7APL NQ;CAIXA TERMICA;2025-07-16;12,0;105,39
5;1903;93319;TINIDAZOL+MICONAZOL CR VAG 40G 7APL NQ;MEL/PROPOLIS;2025-07-16;12,0;105,39
5;1904;153866;OLMESARTANA+ANLO 40MG+5MG 30COM GEN EMS;MEL/PROPOLIS;2025-07-16;6,0;161,53
5;1904;155936;VITACON MATER 60CAP GELATINOSAS MCG;DESODORANTE;2025-07-16;13,0;144,96
5;1904;155936;VITACON MATER 60CAP GELATINOSAS MCG;VITAMINAS/MINERAIS;2025-07-16;13,0;144,96
5;1905;74349;CARVEDILOL 25MG 30COM GEN BIOS;PRODUTO COM PMC;2025-07-23;50,0;175,24
5;1906;110280;BETAMETASONA SOL CAP 50ML GEN NQ;PRODUTO COM PMC;2025-07-23;6,0;75,35
5;1906;110280;BETAMETASONA SOL CAP 50ML GEN NQ;CAIXA TERMICA;2025-07-23;6,0;75,35
5;1907;112720;CELECOXIBE 200MG 10CAP (C1) GEN TEUTO;CAIXA TERMICA;2025-07-23;1,0;3,67
5;1907;112720;CELECOXIBE 200MG 10CAP (C1) GEN TEUTO;OLEO/LOC CORPORAL;2025-07-23;1,0;3,67
5;1908;155577;VITACON C TRIPLA ACAO 10COM EFERV MCG;VITAMINAS/MINERAIS;2025-07-23;190,0;639,82
5;1909;144223;FLORALON (SACCHAROMYCES) 100MG 12CAP GEL;PRODUTO COM PMC;2025-09-08;4,0;29,85
5;1912;150502;NAPROXENO SODICO 550MG 20COM GEN GMD;LUBRIFICANTE;2025-09-08;1,0;13,18
5;1916;132736;ALGODAO BOLA COTTONBABY COLORIDO 50G;CHUPETAS;2025-09-08;3,0;6,72
5;1916;152185;PARACETAMOL BEBE 100MG/ML 15ML GEN TB;LUBRIFICANTE;2025-09-08;1,0;2,46
5;1916;152185;PARACETAMOL BEBE 100MG/ML 15ML GEN TB;CAIXA TERMICA;2025-09-08;1,0;2,46
5;1917;156143;DESLORATADINA 5MG 10COM GEN PHARLAB;PRODUTO COM PMC;2025-09-08;1,0;4,11
5;1917;156143;DESLORATADINA 5MG 10COM GEN PHARLAB;LUBRIFICANTE;2025-09-08;1,0;4,11
5;1921;51926;NOVOPRAZOL (OMEPRAZOL) 20MG POTE 56CAP;PRODUTO COM PMC;2025-09-08;21,0;61,71
5;1923;141385;DICAZID MR (GLICLAZIDA) 30MG 30COM LP;PRODUTO COM PMC;2025-09-08;22,0;124,63
5;1923;155302;LACOSAMIDA 50MG 14COM (C1) GEN TEUTO;CAIXA TERMICA;2025-09-08;9,0;174,64
5;1929;154977;VULT ESM 5FREE AMOUR ATO/CARINHO 8ML;NEBULIZADORES;2025-09-09;1,0;2,75
5;1932;82813;IBUPROFENO 400MG 10COM GEN NQ;PRODUTO COM PMC;2025-09-09;5,0;30,43
5;1933;139744;CONJUNTO MICRO NEBULIZADOR INF;;2025-09-09;1,0;8,81
5;1934;141239;ACECLOFENACO 100MG 12COM GEN VITAMEDIC;LUBRIFICANTE;2025-09-09;5,0;19,41
5;1934;141239;ACECLOFENACO 100MG 12COM GEN VITAMEDIC;MEL/PROPOLIS;2025-09-09;5,0;19,41
5;1936;150729;LOC HID LA PIEL CORPO LOTUS DO ORI 400ML;CUIDADOS COM A PELE;2025-09-09;15,0;298,22
5;1937;135530;ESC D CLEAN ADT UNO PROF MACIA;MASSAGEM;2025-09-09;6,0;32,95
5;1937;140947;WELLA SOFT COLOR NI COLR CAS ESC 30;COLORACAO;2025-09-09;6,0;68,51
5;1940;141087;KIT P/NEBULIZADOR SUPERFLOW PLUS PEDIATR;PED./MANICURE;2025-09-09;1,0;9,79
5;1940;141087;KIT P/NEBULIZADOR SUPERFLOW PLUS PEDIATR;TERMICA;2025-09-09;1,0;9,79
5;1944;143534;NIMESULIDA 100MG 12COM GEN GLB;LUBRIFICANTE;2025-09-09;388,0;355,27
5;1944;143534;NIMESULIDA 100MG 12COM GEN GLB;CAIXA TERMICA;2025-09-09;388,0;355,27
5;1947;147042;COMPRESSA DE GAZE 11F 5UN SALVELOX;DESCARTAVEIS;2025-09-09;60,0;21,59
5;1951;143578;NIMESULIDA 100MG 12COM GEN PRATI;MEL/PROPOLIS;2025-09-09;100,0;129,27
5;1951;143578;NIMESULIDA 100MG 12COM GEN PRATI;OLEO/LOC CORPORAL;2025-09-09;100,0;129,27
5;1959;102636;LOSARTANA 50MG 30COM GEN GMD;PRODUTO COM PMC;2025-09-09;1008,0;1132,03
5;1963;77070;AMOXICILINA SUSP 250MG/5ML 150MLGEN BIOS;PRODUTO COM PMC;2025-09-09;12,0;173,49
5;1964;136518;CH DREAMS SIL ORT T1 5314-01-F BL;CHUPETAS;2025-09-09;2,0;11,9
5;1964;141630;CH JOY SIL O T2 5115-01 ROSA BL;ALGODAO;2025-09-09;6,0;24,89
5;1964;143372;CH 100%SILICONE OT2 6015-01-F;ALGODAO;2025-09-09;13,0;114,68
5;1966;159126;MIRTAZAPINA 30MG 30COM ORODISP (C1)TEUTO;OLEO/LOC CORPORAL;2025-09-09;240,0;4048,13
5;1967;62669;DIPRIN (DIPIRONA) 500MG (10X10) BL100COM;PRODUTO COM PMC;2025-09-09;1,0;20,37
5;1967;148237;SUPRAVIT AZ 60COM;DESODORANTE;2025-09-09;34,0;360,45
5;1967;149946;GASTROBEM (HID ALUM+MAG+SIMET) SUS 240ML;PRODUTO SEM PMC;2025-09-09;10,0;92,9
5;1968;145830;MAMAD BIG TIP 300ML SIL RED-11365-01-M;ACESSORIOS;2025-09-09;6,0;77,52
5;1970;142628;SULFA+TRIM 800/160MG 120COM GEN PRATI;LUBRIFICANTE;2025-09-09;1,0;49,92
5;1970;142628;SULFA+TRIM 800/160MG 120COM GEN PRATI;CAIXA TERMICA;2025-09-09;1,0;49,92
5;1970;145117;CICLOBENZAPRINA 5MG 30COM GEN PRATI;PRODUTO COM PMC;2025-09-09;1,0;3,62
5;1970;147183;METILDOPA 250MG 30COM GEN PRATI;CAIXA TERMICA;2025-09-09;1,0;12,16
5;1970;147183;METILDOPA 250MG 30COM GEN PRATI;OLEO/LOC CORPORAL;2025-09-09;1,0;12,16
5;1971;102768;MESALAZINA 800MG 30COM GEN GMD;OLEO/LOC CORPORAL;2025-09-09;1,0;49,19
5;1971;147813;CICLOBENZAPRINA 10MG 15COM GEN EMS;MEL/PROPOLIS;2025-09-09;1,0;4,15
5;1971;155120;HEMODASE (HIDROC+LIDO) PM 25G C/1APLIC;PRODUTO SEM PMC;2025-09-09;2,0;13,54
5;1972;133237;ABS INTIMUS TRP PRT SUAVE C/AB L16P14UN;ABSORVENTES;2025-09-09;192,0;816,68
5;1973;54593;DIGOXINA 0,25MG 30COM GEN TB;LUBRIFICANTE;2025-09-09;3,0;7,23
5;1975;139823;BICO MAM SIL COLOR BIG RED 0075-01-F;CREME ASSADURAS;2025-09-09;2,0;9,62
5;1976;135379;KIT MAM TIP C/3UN RED 3470-00 AZUL SQ;ACESSORIOS;2025-09-09;3,0;60,58
5;1976;140329;MORDEDOR PEIXE 7042-01-ROSA*;OMEGAS;2025-09-09;4,0;11,99
5;1976;150587;MORDEDOR CHAVES 7046-01-F*;OMEGAS;2025-09-09;1,0;11,97
5;1977;2814;COMPLEXO B 50COM ARTE NATIVA;VITAMINAS/MINERAIS;2025-09-09;2,0;7,81
5;1979;152685;COMPLEXO B SOL ORAL 100ML ARTE NATIVA;VITAMINAS/MINERAIS;2025-10-07;1,0;3,01
5;1980;75345;CLONAZEPAM 0,5MG 30COM (B1) GEN GEO;CAIXA TERMICA;2025-10-07;57,0;96,24
5;1981;55735;TIMOLOL SOL OFT 5MG/ML 5ML GEN TB;CAIXA TERMICA;2025-10-07;1,0;2,03
5;1981;57126;ATENOLOL 50MG 60COM GEN SDZ;OLEO/LOC CORPORAL;2025-10-07;1,0;2,68
5;1983;67431;VARFARINA SOD 5MG 30COM GEN TB;LUBRIFICANTE;2025-10-07;2,0;5,23
5;1983;102326;GLIMEPIRIDA 4MG 30COM GEN GMD;CAIXA TERMICA;2025-10-07;2,0;12,14
5;1985;111821;MIRACALCIO VIT D 600MG+400UI 60COM REV;VITAMINAS/MINERAIS;2025-10-07;1,0;12,48
5;1985;157252;FLORENT (SACCHAROMYCES) 100MG 12CAP DURA;PRODUTO COM PMC;2025-10-07;1,0;6,58
5;1987;146828;DOXAZOSINA 2MG 30COM GEN GEO;OLEO/LOC CORPORAL;2025-10-07;7,0;19,83
5;1988;71110;AZITROMICINA 500MG 3COM GEN GLB;CAIXA TERMICA;2025-10-07;2,0;5,08
5;1990;143075;GLIMEPIRIDA 4MG 30COM GEN GEO;MEL/PROPOLIS;2025-10-07;4,0;30,71
5;1997;147778;CEFALEXINA 500MG 10COM GEN EMS ;OLEO/LOC CORPORAL;2025-11-13;2,0;20,68
5;1999;61166;EXPEC XPE (OXOM+IOD POT+BENZ+GUAI) 120ML;PRODUTO COM PMC;2025-11-20;1386,0;24629,03
5;2001;83330;COCICHIMIL (COLCHICINA) 0,5MG 20COM;PRODUTO COM PMC;2025-11-20;10,0;33,96
5;2001;148060;GLIBENCLAMIDA 5MG 30COM GEN EMS;PRODUTO COM PMC;2025-11-20;23,0;35,8
5;2001;148890;IBUPROFENO 600MG 10CAP GEL GEN TB;MEL/PROPOLIS;2025-11-20;7,0;36,47
5;2003;139730;DESOGESTREL 0,075MG 84COMR GEN SDZ;CAIXA TERMICA;2025-11-20;4,0;56,55
5;2003;144892;CLOPIDOGREL 75MG 28COM GEN NOV SDZ;PRODUTO COM PMC;2025-11-20;4,0;45,12
5;2003;144892;CLOPIDOGREL 75MG 28COM GEN NOV SDZ;OLEO/LOC CORPORAL;2025-11-20;4,0;45,12
5;2005;76520;NORFLOXACINO 400MG 14COM GEN GLB;CAIXA TERMICA;2025-11-20;1,0;5,38
5;2007;63509;METFORMINA 850MG 30COM GEN TB;MEL/PROPOLIS;2025-11-20;50,0;144,57
5;2007;148818;INDAPAMIDA 1,5MG 30COM GEN TORRENT;MEL/PROPOLIS;2025-11-20;119,0;443,55
5;2007;148818;INDAPAMIDA 1,5MG 30COM GEN TORRENT;OLEO/LOC CORPORAL;2025-11-20;119,0;443,55
5;2008;139306;QUETIAPINA 25MG 30COM (C1) GEN SDZ;PRODUTO COM PMC;2025-12-18;81,0;924,72
5;2008;139306;QUETIAPINA 25MG 30COM (C1) GEN SDZ;LUBRIFICANTE;2025-12-18;81,0;924,72
5;2011;143534;NIMESULIDA 100MG 12COM GEN GLB;CAIXA TERMICA;2025-12-18;115,0;111,23
4;2591;149080;SIAGE SPR CAP REVITA REVELA CACHOS 100ML;LINHA CAPILAR;2025-07-23;9,0;107,08
4;3511;149086;SIAGE MASC CAP NUTRI ROSE 250G;BANDAGEM/FITA;2025-09-11;5,0;96,73
4;3519;154961;VULT PO COMP FAC FPS90 03 MEDIO 6G;MAQUIAGEM;2025-09-11;6,0;103,28
4;3521;152830;SIAGE LEAVE IN CAP CAUTERIZ LISOS 100ML ;BANDAGEM/FITA;2025-09-11;6,0;84,48
4;3522;149058;SIAGE MASC CAP OLEOS PODEROSOS 25OG;LINHA CAPILAR;2025-09-11;2,0;37,38
4;3523;156542;NIINA SCRT PINCEL PO PS;MAQUIAGEM;2025-09-11;1,0;9,57
4;3525;150210;VULT ESM 5F DETERMINADA 002 8ML;NEBULIZADORES;2025-09-11;4,0;11,37
4;3525;150894;VULT ESM 5F PE DE AMORA 008 8ML;TERMICA;2025-09-11;13,0;36,04
4;3525;154973;VULT ESM 5FREE AMOUR NOSSO MOMENTO 8ML;NEBULIZADORES;2025-09-11;6,0;15,29
4;3525;154973;VULT ESM 5FREE AMOUR NOSSO MOMENTO 8ML;TERMICA;2025-09-11;6,0;15,29
4;3526;144028;PREND CH OCEANO F*;ESPONJAS-BANHO;2025-09-11;6,0;36,03
4;3527;154194;PAMPERS SAB LIQ GLICERINA CORPO 200ML;AUTOTESTE COVID;2025-09-11;17,0;98,65
4;3527;155624;VULT CD EXPLOSAO DE FORCA 325ML;LINHA CAPILAR;2025-09-11;14,0;113,96
6;44467;132807;DES ROLLON GB FEM LILAC 50ML;DESODORANTE;2025-01-13;2,0;8,07
