CODFILIAL;NUMERO_NOTA;CODPROD;NOME_PRODUTO;CATEGORIA;DTMOV_SAIDA;QTD_SAIDA;VLR_SAIDA
6;46632;154900;BARRA PROTEIN WOD GOUR BRIGADEIRO  C/12;MASCULINO;2025-03-05;1,0;46,24
6;46635;149296;VULT PO COMPACTO 005 9G;TERMOMETROS;2025-03-05;4,0;25,28
6;46636;140415;NUTRIWHEY CHOCOLATE POTE 900G;SABONETE LIQUIDO;2025-03-05;1,0;39,88
6;46638;140637;NUTRIWHEY CHOCOLATE POUCH 900G;SABONETE LIQUIDO;2025-03-05;1,0;36,08
6;46647;125930;MASCARA P/ REPOUSO PRETO BC0251;ANTISSEPTICO;2025-03-05;1,0;12,09
6;46650;152420;SAB LIQ CHEIRINHO BEBE LAVANDITA 250ML;PRE/POS TREINO;2025-03-05;2,0;15,65
6;46654;150211;VULT ESM 5F VINHEDO 004 8ML;PED./MANICURE;2025-03-05;2,0;5,07
6;46655;152175;VULT BLUSH COMPACTO ROSA PEROLADO 3G;TERMOMETROS;2025-03-05;2,0;12,35
6;46658;146570;SAB GLICERINA BEBE 90G GRANADO;HIGIENE INFANTIL;2025-03-05;71,0;267,27
6;46658;146570;SAB GLICERINA BEBE 90G GRANADO;MEDIDORES DE PRESSAO;2025-03-05;71,0;267,27
6;46659;149162;LINEA BARRA PROTEINA CHOCOLATE 32G C/12;PROTEINAS;2025-03-05;108,0;4694,95
6;46660;150164;SECRETS BLUSH & GO PESSEGO SECRETO 5G;MAQUIAGEM;2025-03-05;1,0;11,49
6;46660;150289;VULT CORRETIVO LIQ NANO HD COR V260;MAQUIAGEM;2025-03-05;2,0;12,76
6;46663;151490;VULT MEGA BASE LIQ V200 26ML;MAQUIAGEM;2025-03-05;2,0;11,05
6;46663;154858;SAB INF BARRA GLICERINA CREMER 70G;HIGIENE INFANTIL;2025-03-05;4,0;5,19
6;46663;155884;NIINA SCRT LIP OIL SH FLW ROSA NEG 7ML;MAQUIAGEM;2025-03-05;4,0;40,02
6;46663;155884;NIINA SCRT LIP OIL SH FLW ROSA NEG 7ML;TERMOMETROS;2025-03-05;4,0;40,02
6;46664;154536;DES CORP KANITZ ACQUA BLANK 310ML;INALADORES;2025-03-05;94,0;1682,17
6;54549;152408;COL CHEIRINHO DE BEBE LAVANDITA 210ML;AUTOTESTE COVID;2025-09-18;2,0;28,61
6;54559;136754;KIT GB ROLLON C/2UND CHERRY 50ML;VITAMINAS/MINERAIS;2025-09-18;1,0;6,55
6;54561;134092;KIT GB ROLLON C/2UND ROSA 50ML;VITAMINAS/MINERAIS;2025-09-18;2,0;13,09
6;54564;149069;SIAGE CD RECONSTROI OS FIOS 200ML;LINHA CAPILAR;2025-09-18;33,0;450,98
6;54565;152183;VULT PALETA SOMBRAS ESSENTIALS ROSE 3G;MAQUIAGEM;2025-09-18;1,0;8,4
6;54565;152183;VULT PALETA SOMBRAS ESSENTIALS ROSE 3G;TERMOMETROS;2025-09-18;1,0;8,4
6;54570;157202;SIAGE MASC CAP RESISTENCIA ANTIQUEDA250G;LINHA CAPILAR;2025-09-18;14,0;343,15
6;54574;155707;PMPCK SIAGE SHAMP/COND HAIR PLASTIA;LINHA CAPILAR;2025-09-18;9,0;186,49
6;54584;154718;VULT BALM LABIAL AMORA 3,5G;MAQUIAGEM;2025-09-18;2,0;11,17
6;57689;145599;LOC HID GB MEN 180ML;CUIDADOS COM A PELE;2025-12-18;6,0;66,77
6;57691;152693;LOC HID GB 10+ BLUEBERRY 200ML;CUIDADOS COM A PELE;2025-12-18;32,0;371,75
6;57692;151777;KIT GB NEC+COL20ML+LOC200ML+SAB90G BLANC;MEDIDORES DE PRESSAO;2025-12-18;25,0;477,39
6;57693;155044;KIT HID MY SPRAY CLASS 150/50ML;CUIDADOS COM A PELE;2025-12-18;7,0;98,63
6;57695;154626;DEO COL GB ROSE GOLD 50ML;INALADORES;2025-12-18;36,0;1035,26
6;57699;151181;DEO COL GB SILVER 50ML;INALADORES;2025-12-18;12,0;341,72
6;57702;157176;HID CAPILAR GB SUMMER SPRAY 200ML;LINHA CAPILAR;2025-12-18;40,0;305,81
6;57702;157176;HID CAPILAR GB SUMMER SPRAY 200ML;BANDAGEM/FITA;2025-12-18;40,0;305,81
6;57707;155043;KIT HID MY SPRAY BLUE 150/50ML;CUIDADOS COM A PELE;2025-12-18;12,0;169,07
6;57709;157008;DES ROLLON GB YES FUN 50ML;DESODORANTE;2025-12-18;17,0;70,52
6;57710;154625;DES GB STICK 0% ALUMINIO NEUTRAL 50G;DESODORANTE;2025-12-18;102,0;1104,17
6;57741;140637;NUTRIWHEY CHOCOLATE POUCH 900G;PRE/POS TREINO;2025-12-18;2,0;75,96
6;57741;140637;NUTRIWHEY CHOCOLATE POUCH 900G;SABONETE LIQUIDO;2025-12-18;2,0;75,96
6;57779;143753;DEO COL GB BLANC VANILLA 50ML;AGUA DE COLONIA;2025-12-18;9,0;275,45
6;57783;155270;CR PENT HUGGIES KIDS HID BRILHO 360ML;AUTOTESTE COVID;2025-12-18;5,0;28,8
6;57792;159373;SAB LEITE DE ROSAS 90G;SABONETES;2025-12-18;21,0;42,5
6;57798;152415;SAB CHEIRINHO DE BEBE BLUE 80G;SABONETE SOLIDO;2025-12-18;31,0;83,48
6;57807;146577;SAB LIQ GLIC BEBE TRADICIO 250ML GRANADO;MEDIDORES DE PRESSAO;2025-12-18;33,0;453,64
6;57808;158910;CARNIBOL DK  SABOR CHOCOLATE 900G;DESODORANTE;2025-12-18;2,0;174,64
6;57812;154628;DES ROLLON GB ROSE GOLD 50ML;VITAMINAS/MINERAIS;2025-12-18;2,0;9,08
6;57814;154563;PMPCK SIAGE SHAMP/COND/LEAVE NUTRI ROSE;BANDAGEM/FITA;2025-12-18;3,0;73,55
6;57819;145585;DES CORP GB BODY SPLASH PEACH 260ML;CORPO;2025-12-18;34,0;512,25
6;57824;154548;VULT PO COMPACTO FACIAL V430 9G;TERMOMETROS;2025-12-18;1,0;6,38
6;57824;155642;TONICO 7%AC LATI+1%AC SAL AL-7 120MLPRIN;CUIDADOS COM A PELE;2025-12-18;4,0;103,73
6;57825;136233;LOC HID GB FANTASY 200ML;CUIDADOS COM A PELE;2025-12-18;6,0;37,66
6;57831;156634;HID FLOR YPE AMEIXA/LOTUS 200ML;CUIDADOS COM A PELE;2025-12-18;25,0;205,87
6;57843;150170;VULT BASE MATTE HIDRALURONIC Q075 26ML;MAQUIAGEM;2025-12-18;1,0;8,08
6;57855;156722;VULT BALM LABIAL FRUITT MORANGO 3,5G;MAQUIAGEM;2025-12-18;1,0;6,42
6;57888;140412;WHEY 100% PURE COOKIES POTE 907G;SABONETE LIQUIDO;2025-12-18;1,0;80,07
6;57889;160326;CD MASCARA TRAT OX GLICOLICO 300G;CONDICIONADORES;2025-12-18;1,0;14,29
6;57906;150139;SIAGE CD LOIRO EXPERT 200ML;LINHA CAPILAR;2025-12-18;7,0;93,76
6;57912;146574;CD BEBE LAVANDA 250ML GRANADO;HIGIENE INFANTIL;2025-12-18;9,0;99,98
6;57912;146574;CD BEBE LAVANDA 250ML GRANADO;MEDIDORES DE PRESSAO;2025-12-18;9,0;99,98
6;57916;155557;CRISP BAR CREME DE COCO 12UND;SUPLEMENTOS;2025-12-18;1,0;49,97
6;57919;142372;BIO-OIL 60ML;CUIDADOS COM A PELE;2025-12-18;2,0;31,64
6;57920;151035;OLEO HID LA PIEL CORPO CRIST/HIMAL 200ML;MAQUIAGEM;2025-12-18;2,0;37,8
6;57920;151035;OLEO HID LA PIEL CORPO CRIST/HIMAL 200ML;TERMOMETROS;2025-12-18;2,0;37,8
6;57922;150304;EUDORA KIDS GEL PODER DA FIXACAO 100ML;GEIS CAPILARES;2025-12-18;3,0;24,42
6;57922;150304;EUDORA KIDS GEL PODER DA FIXACAO 100ML;ASSENTO INF;2025-12-18;3,0;24,42
6;57923;149037;INSTANCE DES COL SPR FRUTA VERMEL 200ML*;INALADORES;2025-12-18;6,0;112,2
6;57925;150206;VULT ESM 5F CINEMA 042 8ML;PED./MANICURE;2025-12-18;1,0;2,53
6;57926;151106;SIAGE SPR ANTI FRIZZ CBT/FRIZ 50ML RPCK;BANDAGEM/FITA;2025-12-18;38,0;462,08
6;57927;136387;OLEO DE ROSA MOSQUETA 100ML FARMAX;CAIXA TERMICA;2025-12-18;48,0;205,33
6;57928;136387;OLEO DE ROSA MOSQUETA 100ML FARMAX;PRODUTO COM PMC;2025-12-18;36,0;153,99
6;57928;136387;OLEO DE ROSA MOSQUETA 100ML FARMAX;LUBRIFICANTE;2025-12-18;36,0;153,99
6;57935;149019;AG PROTETOR FACIAL COR 02 FPS 60 40G;BRONZEADOR / PROTETOR;2025-12-18;2,0;37,13
6;57935;156773;VULT PINCEL BAS MEGA COBERTURA PS;TERMOMETROS;2025-12-18;3,0;22,61
6;57937;149058;SIAGE MASC CAP OLEOS PODEROSOS 25OG;BANDAGEM/FITA;2025-12-18;11,0;214,02
6;57961;130839;DES AERO GB 48HRS FEM CLASSIC 150ML;DESODORANTE;2025-12-18;12,0;74,77
6;57965;153762;OFF! FAMILY REPELENTE SPRAY 170ML PROMO;OXIMETROS;2025-12-18;2,0;17,89
6;57965;158598;VULT SH RECARGA DE HIDRATACAO 200ML;LINHA CAPILAR;2025-12-18;1,0;5,02
6;57979;149351;SIAGE ELIXIR CAP OVER NUTRI OL/POD 150ML;BANDAGEM/FITA;2025-12-18;8,0;117,25
6;57981;36951;JOELHEIRA SPORT ORIF REFOR M 0037;ORTOPEDICOS;2025-12-18;4,0;98,12
6;57981;154627;DES AERO GB 72HRS ROSE GOLD 150ML;VITAMINAS/MINERAIS;2025-12-18;1,0;5,94
6;57982;151694;EVORA INTEGRAL FRUTAS AMARELAS 150G;PRE/POS TREINO;2025-12-18;1,0;30,35
6;57984;153762;OFF! FAMILY REPELENTE SPRAY 170ML PROMO;REPELENTES;2025-12-18;4,0;35,77
6;57984;153762;OFF! FAMILY REPELENTE SPRAY 170ML PROMO;OXIMETROS;2025-12-18;4,0;35,77
8;137929;152410;CPP CHEIRINHO BEBE TODOS TIPOS 300ML;MEDIDORES DE PRESSAO;2025-01-07;1,0;7,64
8;137930;24279;ACIDO FOLICO 60CAP DUOM;DESODORANTE;2025-01-07;1,0;8,07
8;137930;24279;ACIDO FOLICO 60CAP DUOM;VITAMINAS/MINERAIS;2025-01-07;1,0;8,07
8;139311;86690;TIRAS REAGENTES FREE C/50UND G-TECH;TIRAS REAGENTES;2025-01-23;1,0;36,07
8;139580;153224;FRALDA PERSONAL PROTECT PANTS MG XXG 36U;FRALDAS;2025-01-27;4,0;114,38
8;139584;152532;ROUPA INT PLENIT CLASSIC P/M 8UND;FRALDAS;2025-01-27;16,0;259,62
8;139586;992428;BICO MAM ANTIVAZ FLUXO RAPIDO BI00410;CREME ASSADURAS;2025-01-27;2,0;22,94
8;143538;156206;FRALDA HUGG TRP MEGUINHA P 38UN;FRALDAS;2025-03-06;27,0;535,59
8;143554;133205;ABS INTIMUS TRP PRT SECA S/AB 8UN;ABSORVENTES;2025-03-06;4,0;9,8
8;143556;149837;ABS SYM SUAVE C/ABAS L16P14U;ABSORVENTES;2025-03-06;9,0;26,73
8;143566;145579;DES CORP GB BODY SPLASH BLUE 260ML;CORPO;2025-03-06;10,0;147,23
8;143570;152758;MY WHEY CHOCOLATE 250ML;OLEO CAPILAR;2025-03-06;54,0;299,52
8;143602;152051;ABS SYM SUAVE NOITE&DIA C/ABAS 8UND;ABSORVENTES;2025-03-06;2,0;4,64
8;143615;147522;MAMAD MAM EASY START 2X130+260ML AZ MA21;MAMADEIRAS;2025-03-06;1,0;49,36
8;143618;155041;TOTALVITA OMEGA 3 1G 120/CAPS;OMEGAS;2025-03-06;1,0;11,9
8;143619;994053;MAMAD MAM EASY ACTIVE 270ML NT MA40613;TALCO;2025-03-06;1,0;21,92
8;143623;145585;DES CORP GB BODY SPLASH PEACH 260ML;CORPO;2025-03-06;1,0;14,76
8;147674;134234;LOC HID GB BLUE 200ML;CUIDADOS COM A PELE;2025-04-10;1,0;10,71
8;147680;135428;CHOCALHO LOLLY TIP 7230 AZUL BL*;ESPONJAS-BANHO;2025-04-10;1,0;6,45
8;147693;155041;TOTALVITA OMEGA 3 1G 120/CAPS;ESPATULA;2025-04-10;1,0;11,9
8;147694;152858;DES AERO GB 72HRS MEN SPORT ACQUA 150ML;VITAMINAS/MINERAIS;2025-04-10;1,0;8,72
8;147717;126976;DES ROLLON GB FEM CLASSIC 50ML;DESODORANTE;2025-04-10;2,0;9,28
8;147725;154246;CR ASSADURAS HUGGIES 30G;CREME ASSADURAS;2025-04-10;1,0;6,7
8;147883;155034;TOTALVITA AZ POLIVIT 60/CAPS;SUPLEMENTOS;2025-04-11;13,0;102,79
8;149145;96512;XANTCLER 60FLAC 10ML ABACAXI LAPON;AMINOACIDOS;2025-04-23;3,0;52,79
8;155103;151182;DES AERO GB 72HRS SILVER 150ML;DESODORANTE;2025-05-30;2,0;19,15
8;155107;153097;GEL CAP INCOLOR KANECHOM 230G;COLORACAO;2025-05-30;12,0;44,83
8;155115;58700;AGUA OXIGENADA 20VOL 90ML FARMAX;COLORACAO;2025-05-30;1,0;1,44
8;158197;136413;OLEO DE ROSA MOSQUETA 30ML FARMAX;OLEO/LOC CORPORAL;2025-06-20;1,0;9,89
8;158205;141630;CH JOY SIL O T2 5115-01 ROSA BL;ALGODAO;2025-06-20;8,0;23,51
8;158210;158010;ESC RAQUETE DISNEY SEREIA MARCO BONI;ESCOVAS/PENTES;2025-06-20;1,0;15,17
8;158212;149752;PREND MAM CHUPETA CLIP CL01013 NEUTRO;PRENDEDORES;2025-06-20;1,0;15,25
8;158214;147487;PORTA LEITE EM PO MAM - AZ AL20011;LAPIS/LAPISEIRA;2025-06-20;1,0;27,35
8;158223;150719;FRALDA PERSONAL PROT&SEC MEGA M 40UN;FRALDAS;2025-06-20;9,0;144,92
8;160678;145529;PRESERV DUE FINISSIMO C/3UND FLOW PACK;DESCARTAVEIS;2025-07-07;12,0;52,2
8;160682;133951;KIT MAM BIG CLEAN S/ALCA 10365-01-M ;MAMADEIRAS;2025-07-07;1,0;15,67
8;174539;151827;MAGNESIO QUELATO 60CAP DUOM;ESPATULA;2025-10-07;2,0;20,09
8;174539;151827;MAGNESIO QUELATO 60CAP DUOM;MORDEDORES;2025-10-07;2,0;20,09
8;174541;147522;MAMAD MAM EASY START 2X130+260ML AZ MA21;TALCO;2025-10-07;1,0;52,46
8;174548;147522;MAMAD MAM EASY START 2X130+260ML AZ MA21;TALCO;2025-10-07;3,0;157,39
8;174556;133248;SH HUGGIES EXTRA SUAVE 200ML;AUTOTESTE COVID;2025-10-07;6,0;51,31
8;174559;146058;ABS INTIMUS ULTRAFINO ANTIBAC C/AB 14UN;ABSORVENTES;2025-10-07;2,0;10,17
8;179706;141828;ROUPA INT PLENIT PROTECT PLUS P/M 16UND;FRALDAS;2025-12-17;8,0;305,22
8;179707;130839;DES AERO GB 48HRS FEM CLASSIC 150ML;DESODORANTE;2025-12-17;2,0;14,28
8;179709;12521;BENZIN (BENZOATO+BENZILA) SAB 60G;PRODUTO COM PMC;2025-12-17;1,0;3,68
8;179724;145830;MAMAD BIG TIP 300ML SIL RED-11365-01-M;MAMADEIRAS;2025-12-18;2,0;21,14
8;179724;145830;MAMAD BIG TIP 300ML SIL RED-11365-01-M;ACESSORIOS;2025-12-18;2,0;21,14
8;179727;135007;SH GIOVANNA BABY GIBY 200ML;CUIDADO COM O ROSTO;2025-12-18;12,0;77,08
8;179777;992482;MAMAD MAM EASY START 160ML VERDE MA01311;TALCO;2025-12-19;3,0;102,41
8;179789;135012;COL GB GIBY 100ML;AGUA DE COLONIA;2025-12-19;233,0;1460,76
9;261313;93319;TINIDAZOL+MICONAZOL CR VAG 40G 7APL NQ;MEL/PROPOLIS;2025-03-17;6,0;62,46
9;261314;104760;ALGESTONA+ESTRADIOL 150+10MG INJ 1ML CIF;PRODUTO COM PMC;2025-03-17;9,0;55,29
9;261325;123706;CAPTOPRIL 50MG 30COM GEN GLB;PRODUTO COM PMC;2025-03-17;9,0;28,52
9;261325;123706;CAPTOPRIL 50MG 30COM GEN GLB;CAIXA TERMICA;2025-03-17;9,0;28,52
9;261330;101320;HIDROXIZINA 2MG/ML 120ML GEN GMD;PRODUTO COM PMC;2025-03-17;2,0;15,32
9;261330;101320;HIDROXIZINA 2MG/ML 120ML GEN GMD;OLEO/LOC CORPORAL;2025-03-17;2,0;15,32
9;261332;142958;NITAZOXANIDA 500MG 6COM GEN NQ;OLEO/LOC CORPORAL;2025-03-17;1,0;19,46
9;261344;139882;AZITROMICINA SUSP 600MG 15ML GEN PHARL;LUBRIFICANTE;2025-03-17;25,0;251,99
9;261346;142958;NITAZOXANIDA 500MG 6COM GEN NQ;MEL/PROPOLIS;2025-03-17;3,0;58,37
9;261358;80152;FLAVONID (DIOSMINA+HESP) 450+50MG 30COM;PRODUTO COM PMC;2025-03-17;2,0;31,76
9;261365;54305;METRONIDAZOL GEL VAG 10APLIC 50G GEN GEO;OLEO/LOC CORPORAL;2025-03-17;1,0;7,81
9;261379;87700;CIPROFIBRATO 100MG 30COM GEN NQ;CAIXA TERMICA;2025-03-17;5,0;64,04
9;261382;153190;ALBENDAZOL 40MG/ML 10ML GEN GEO;PRODUTO COM PMC;2025-03-17;1,0;1,84
9;261386;48372;VERTIZAN (FLUNARIZINA) 10MG 50COM;PRODUTO COM PMC;2025-03-17;1,0;4,28
9;261393;81949;AZITROMICINA 500MG 3COM GEN NEO;MEL/PROPOLIS;2025-03-17;1,0;6,42
9;261530;146045;ROSUVASTATINA CALCICA 20MG 30COM GEN NQ;CAIXA TERMICA;2025-03-18;12,0;124,65
9;261532;150818;RESFEGRIPE (PARAC+CLORFE+FENIL) 20X10CAP;PRODUTO COM PMC;2025-03-18;1,0;39,45
9;265839;82384;ANLODIPINO 10MG 30COM GEN NQ;OLEO/LOC CORPORAL;2025-05-07;1,0;3,62
9;265842;81930;CAPTOPRIL 25MG 30COM GEN NQ;CAIXA TERMICA;2025-05-07;21,0;38,83
9;265853;85049;PREDNISONA 5MG 20COM GEN MDY;OLEO/LOC CORPORAL;2025-05-07;1,0;4,11
9;265857;150400;ATADURA CREP 06CMX1,8M INA 13F 12UN NEVE;DESCARTAVEIS;2025-05-07;12,0;49,08
9;265862;152343;ENALAPRIL 20MG 30COM GEN BELFAR;MEL/PROPOLIS;2025-05-07;4,0;8,72
9;265906;111589;AZITROMICINA 500MG 5COM GEN NEO;PRODUTO COM PMC;2025-05-07;2,0;19,49
9;265909;143534;NIMESULIDA 100MG 12COM GEN GLB;PRODUTO COM PMC;2025-05-07;16,0;17,88
9;265920;153373;ANLODIPINO 10MG 30COM GEN VITAMEDIC;CAIXA TERMICA;2025-05-08;4,0;8,18
9;265920;153373;ANLODIPINO 10MG 30COM GEN VITAMEDIC;MEL/PROPOLIS;2025-05-08;4,0;8,18
9;265922;153137;PRESERV PRESERV LITE C/3UND;DESCARTAVEIS;2025-05-08;6,0;12,93
9;271629;57452;DEXCLORFENIRAMINA XPE 120ML GEN GEO;PRODUTO COM PMC;2025-07-07;4,0;18,68
9;271630;100919;CARVEDILOL 25MG 30COM GEN GMD;OLEO/LOC CORPORAL;2025-07-07;13,0;81,46
9;271650;82686;PREDNISONA 5MG 20COM GEN NQ;CAIXA TERMICA;2025-07-07;2,0;7,13
9;271656;45020;SECNIDAZOL 1000MG 2COM GEN PHARL;LUBRIFICANTE;2025-07-07;1,0;2,1
9;271656;45020;SECNIDAZOL 1000MG 2COM GEN PHARL;OLEO/LOC CORPORAL;2025-07-07;1,0;2,1
9;271659;147026;SUCCIN METOPROLOL 50MG LP 30COM GEN PHAR;LUBRIFICANTE;2025-07-07;5,0;75,74
9;271659;147026;SUCCIN METOPROLOL 50MG LP 30COM GEN PHAR;CAIXA TERMICA;2025-07-07;5,0;75,74
9;271662;147223;SEAKALM (PASSIFLORA INCARN) 600MG 20COM;PRODUTO SEM PMC;2025-07-07;1,0;21,96
9;271663;113743;HIDROCLOROTIAZIDA 25MG 30COM GEN MEDQ;LUBRIFICANTE;2025-07-07;6,0;6,25
9;271669;77437;HIDRAPLEX PO TUTTI - FRUTTI 27,9G 4ENV;PRODUTO SEM PMC;2025-07-07;2,0;15,14
9;272027;153647;ALBEL (ALBENDAZOL) 400MG 5COM MAST;PRODUTO COM PMC;2025-07-10;1,0;4,23
9;273374;4006;ANTIMAIS SEPTICO SPR 50ML;PRODUTO COM PMC;2025-07-23;120,0;966,82
9;280161;153468;HEMOVIRTUS PRO C/10APLIC 30G;PRODUTO COM PMC;2025-10-06;1,0;15,61
9;280166;117587;NARATRIPTANA 2,5MG 10COM GEN NVQ;PRODUTO COM PMC;2025-10-06;1,0;13,8
9;280179;110183;CEFALEXINA SUSP 50MG/ML 100ML GEN NQ;LUBRIFICANTE;2025-10-06;60,0;572,38
9;280182;57045;ALBEL (ALBENDAZOL) 400MG 1COM MAST;PRODUTO COM PMC;2025-10-06;1,0;1,26
9;280186;154575;DORALGINA (DIP+ISOMET+CAF) (2X10) 20COM;PRODUTO COM PMC;2025-10-06;21,0;145,8
9;280206;153672;DIPIRONA SOD 1G 20COM GEN NQ;LUBRIFICANTE;2025-10-06;58,0;593,0
9;280243;400;ATADURA CREP 30CMX1,8M CYSNE 1UN CREMER;DESCARTAVEIS;2025-10-06;372,0;1706,35
9;280250;112003;TIBOLONA 2,5MG 28COM GEN NQ;CAIXA TERMICA;2025-10-06;1,0;19,33
9;280252;111694;DEXAMETASONA 1MG/G CR DERM 10G GEN GEO;CAIXA TERMICA;2025-10-06;7,0;16,36
9;280254;44539;CIPROFLOXACINO 500MG 14COM GEN PHARLAB;LUBRIFICANTE;2025-10-06;4,0;19,08
9;280318;18244;TOBRAMICINA 3MG/ML SOL OFT 5ML GEN GEO;PRODUTO COM PMC;2025-10-06;1,0;5,51
9;280318;18244;TOBRAMICINA 3MG/ML SOL OFT 5ML GEN GEO;MEL/PROPOLIS;2025-10-06;1,0;5,51
9;280318;18244;TOBRAMICINA 3MG/ML SOL OFT 5ML GEN GEO;OLEO/LOC CORPORAL;2025-10-06;1,0;5,51
9;280326;82821;HIDROCLOROTIAZIDA 50MG 20COM GEN NQ;LUBRIFICANTE;2025-10-06;2,0;2,7
9;280326;82821;HIDROCLOROTIAZIDA 50MG 20COM GEN NQ;CAIXA TERMICA;2025-10-06;2,0;2,7
9;280404;155101;ATENOLOL+CLORTAL 50+12,5MG 30COM GEN VIT;LUBRIFICANTE;2025-10-07;3,0;18,09
9;280404;155101;ATENOLOL+CLORTAL 50+12,5MG 30COM GEN VIT;OLEO/LOC CORPORAL;2025-10-07;3,0;18,09
9;280409;154863;NARATRIPTANA 2,5MG 4COM GEN MDY;CAIXA TERMICA;2025-10-07;1,0;1,35
9;280410;155089;AMBROXOL XPE ADT 6MG/ML 100ML+COPO BELF;OLEO/LOC CORPORAL;2025-10-07;1,0;3,36
9;280411;152303;LEVOCETIRIZINA 5MG 10COM GEN GMD;CAIXA TERMICA;2025-10-07;2,0;26,33
9;280416;14;FLOMICIN (SACCHAROMYCES) 100MG 12CAP;PRODUTO COM PMC;2025-10-07;2,0;21,69
9;281711;154450;FEXOFENADINA 6MG/ML PED 60ML GEN VITAM;OLEO/LOC CORPORAL;2025-10-16;1,0;11,23
9;292668;140488;FUROSEMIDA 40MG 20COM GEN NQ;PRODUTO COM PMC;2025-12-18;72,0;135,66
9;292669;1031;RITMONEURAN RTM (PASSIFLORA) 20CAP;PRODUTO SEM PMC;2025-12-18;2,0;15,66
9;292710;139394;TADALAFILA 20MG 2COM GEN NQ;CAIXA TERMICA;2025-12-18;1,0;1,96
9;292710;139394;TADALAFILA 20MG 2COM GEN NQ;MEL/PROPOLIS;2025-12-18;1,0;1,96
9;292714;148845;PREDNISONA 20MG 10COM GEN GLB;LUBRIFICANTE;2025-12-18;7,0;22,12
9;292949;141334;CLOPIDOGREL 75MG 28COM GEN NVQ;MEL/PROPOLIS;2025-12-19;2,0;20,79
9;292978;25720;DIPIRONA SOD 500MG 30COM GEN MDY;LUBRIFICANTE;2025-12-19;2,0;20,06
2;417971;152343;ENALAPRIL 20MG 30COM GEN BELFAR;OLEO/LOC CORPORAL;2025-01-08;60,0;130,75
2;419050;119067;ESCITALOPRAM 10MG 30COM (C1) GEN GEO;LUBRIFICANTE;2025-01-13;2,0;9,36
2;419050;143153;OLEO DE RICINO HID 100ML FARMAX;PRODUTO SEM PMC;2025-01-13;5,0;37,24
2;419052;57207;OMEPRAZOL 20MG 28CAP POTE GEN TB;MEL/PROPOLIS;2025-01-13;7,0;16,17
2;419056;156657;FRALDA BABYSEC SHORT PREM HIPER XG 42 IM;FRALDAS;2025-01-13;2,0;78,53
2;419060;147947;METILDOPA 500MG 30COM GEN EMS;OLEO/LOC CORPORAL;2025-01-13;54,0;1871,29
2;419065;102202;QUETIAPINA 200MG 30COM (C1) GEN GMD;PRODUTO COM PMC;2025-01-13;3,0;89,27
2;419065;102202;QUETIAPINA 200MG 30COM (C1) GEN GMD;LUBRIFICANTE;2025-01-13;3,0;89,27
